,차종,엔진형식,과급방식,연료,배기량,최고출력,최대토크,연비,CO₂ 배출량,전장/전폭,전고/축거,윤거전/후,공차중량,전륜타이어,후륜타이어,구동방식,변속기,전륜서스펜션,후륜서스펜션,전륜제동장치,후륜제동장치,스티어링,출력,토크,주행거리,용량,타입,최고속도,가속성능
59,2007 SM3,"DOHC 1.5, CVTC 1.6",,가솔린,"1,596cc",107hp,14.9kg.m,"복합 12.6~14.5km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,510mm / 1,710mm","1,440mm / 2,535mm","1,490mm / 1,490mm","1,160~1,185kg",175~195mm / 60~70 / 14~15inch,175~195mm / 60~70 / 14~15inch,앞엔진 전륜 구동,"수동5단, 자동4단",맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,드럼,랙 앤 피니언,,,,,,180km/h,
60,2015 맥스크루즈,I4 직분사 디젤,싱글터보,디젤,"2,199cc",200hp,44.5kg.m,"복합 11.9km/ℓ 도심 10.6km/ℓ, 고속 14km/ℓ",168g/km,"4,915mm / 1,885mm","1,690mm / 2,800mm","1,628mm / 1,639mm","1,840kg",235mm / 55 / 19inch,235mm / 55 / 19inch,앞엔진 전륜 구동,토크컨버터6단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,
61,2023 BMW i7,,,전기,,,,"복합 3.7km/kWh 도심 3.6km/kWh, 고속 3.8km/kWh",,"5,390mm / 1,950mm","1,545mm / 3,215mm","1,665mm / 1,648mm","2,750kg",255mm / 40 / 21inch,285mm / 35 / 21inch,상시사륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,400kW536.4hp (단순환산치),745Nm76.0kg.m (단순환산치),438km,105.7kWh,리튬 이온,240km/h,4.7초
62,2026 메르세데스-벤츠 EQB,,,전기,,,,"복합 4.1km/kWh 도심 4.3km/kWh, 고속 3.9km/kWh",,"4,685mm / 1,835mm","1,690mm / 2,829mm","1,588mm / 1,589mm","2,135kg",235mm / 50 / 19inch,235mm / 50 / 19inch,상시사륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,168kW225.3hp (단순환산치),390Nm39.8kg.m (단순환산치),302km,65.9kWh,리튬 이온,160km/h,8초
63,2014 BMW 1시리즈,I4 2.0,싱글터보,디젤,"1,995cc",184hp,38.7kg.m,"복합 18.5km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",103g/km,"4,324mm / 1,765mm","1,421mm / 2,690mm","1,535mm / 1,569mm","1,365kg",205~225mm / 40~55 / 16~18inch,205~245mm / 35~55 / 16~18inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,228km/h,7.1초
64,2024 싼타페,I4,싱글터보,가솔린,"2,497cc",281hp,43kg.m,"복합 10~11km/ℓ 도심 8.8~9.6km/ℓ, 고속 12~13.4km/ℓ",152~168g/km,"4,830mm / 1,900mm","1,720~1,780mm / 2,815mm","1,643~1,646mm / 1,653~1,656mm","1,795~1,865kg",235~245mm / 45~60 / 18~21inch,235~245mm / 45~60 / 18~21inch,앞엔진 전륜 구동,DCT8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
65,2018 렉서스 CT 하이브리드,V6,자연흡기,가솔린,"3,456cc",299hp 합산 359hp,35.7kg.m,"복합 10.9km/ℓ 도심 10.5km/ℓ, 고속 11.5km/ℓ",155g/km,"4,760mm / 1,920mm","1,345mm / 2,870mm","1,630mm / 1,635mm","2,010kg",245mm / 40 / 21inch,275mm / 35 / 21inch,앞엔진 후륜 구동,CVT,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
66,2017 메르세데스-벤츠 GLE,V6 직분사,싱글터보,디젤,"2,987cc",258hp,63.2kg.m,"복합 9.7km/ℓ 도심 0~9km/ℓ, 고속 0~10.8km/ℓ",200g/km,"4,830mm / 1,935mm","1,770mm / 2,915mm","1,645mm / 1,655mm","2,350kg",265mm / 45 / 20inch,265mm / 45 / 20inch,상시사륜 구동,토크컨버터9단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,225km/h,7.1초
67,1999 야무진,직렬 4기통,싱글터보,디젤,"2,663cc",85hp,18kg.m,,,"4,975mm / 1,695mm","1,965mm",,,,,중간엔진 후륜 구동,수동5단,,,,,,,,,,,,
68,2015 메르세데스-AMG SLK,V8,자연흡기,가솔린,"5,461cc",421hp,55kg.m,"복합 9.1km/ℓ 도심 7.8km/ℓ, 고속 11.4km/ℓ",195g/km,"4,140mm / 1,820mm","1,315mm / 2,430mm","1,565mm / 1,565mm","1,630kg",235mm / 40 / 18inch,255mm / 35 / 18inch,앞엔진 후륜 구동,자동7단,3링크,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,250km/h,4.6초
69,2024 쏘렌토 하이브리드,I4,싱글터보,가솔린,"1,598cc",180hp 합산 235hp,27kg.m 합산 35.7kg.m,"복합 15.7km/ℓ 도심 16.6km/ℓ, 고속 14.6km/ℓ",102g/km,"4,815mm / 1,900mm","1,695~1,700mm / 2,815mm","1,646~1,651mm / 1,656~1,661mm","1,815~1,830kg",235mm / 60~65 / 17~18inch,235mm / 60~65 / 17~18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
70,2018 카니발,l4,싱글터보,디젤,"2,199cc",199hp,45kg.m,"복합 10.9km/ℓ 도심 9.9km/ℓ, 고속 12.6km/ℓ",180g/km,"5,115mm / 1,985mm","1,740mm / 3,060mm","1,735mm / 1,742mm","2,140kg",235mm / 55 / 19inch,235mm / 55 / 19inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,
71,2016 렉서스 RC F 스포츠,l4 듀얼VVTi,싱글터보,가솔린,"1,998cc",245hp,35.7kg.m,"복합 9.9km/ℓ 도심 8.6km/ℓ, 고속 12.2km/ℓ",175g/km,"4,695mm / 1,840mm","1,395mm / 2,730mm","1,590mm / 1,575mm","1,710kg",235mm / 40 / 19inch,265mm / 35 / 19inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
72,2006 BMW 3시리즈 컨버터블,I-6,,가솔린,"2,494cc",192hp,25.5kg.m,"복합 8.9km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,520mm / 1,817mm","1,421mm / 2,760mm","1,500mm / 1,513mm","1,580kg",225mm / 45 / 17inch,225mm / 45 / 17inch,앞엔진 후륜 구동,자동6단,리프 스프링,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,230km/h,9.1초
73,2021 메르세데스-벤츠 CLA,I4,싱글터보,가솔린,"1,991cc",224hp,35.7kg.m,"복합 11.5km/ℓ 도심 10.3km/ℓ, 고속 13.5km/ℓ",150g/km,"4,695mm / 1,830mm","1,435mm / 2,730mm","1,603mm / 1,597mm","1,550kg",225mm / 45 / 18inch,225mm / 45 / 18inch,상시사륜 구동,DCT7단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,250km/h,6.3초
74,2010 메르세데스-AMG M클래스,V형 8기통,,가솔린,"6,209cc",510hp,64.2kg.m,"복합 5.2km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",456g/km,"4,810mm / 1,950mm","1,815mm / 2,915mm","1,665mm / 1,665mm","2,235kg",295mm / 40 / 20inch,295mm / 40 / 20inch,사륜 구동,자동7단,더블위시본,4링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,5초
75,2010 메르세데스-벤츠 C클래스,L4 2.2,,디젤,"2,143cc",170hp,40.8kg.m,"복합 15.5km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",173g/km,"4,585mm / 1,770mm","1,450mm / 2,760mm","1,530mm / 1,530mm","1,645kg",225mm / 45 / 17inch,225mm / 45 / 17inch,앞엔진 후륜 구동,자동5단,더블 위시본,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,230km/h,
76,2009 투싼,2.0 VGT,,디젤,"1,991cc",151hp,32kg.m,"복합 13.1~15.2km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",177~203g/km,"4,325mm / 1,800mm","1,680mm / 2,630mm","1,540mm / 1,540mm","1,615~1,635kg",215~235mm / 55~65 / 16~17inch,215~235mm / 55~65 / 16~17inch,앞엔진 전륜 구동,"수동6단, 자동4단",맥퍼슨 스트럿,듀얼링크 코일스프링,디스크,"드럼,디스크",랙 앤 피니언,,,,,,,
77,2018 렉서스 GS F,V8,자연흡기,가솔린,"4,969cc",473hp,53.7kg.m,"복합 7.6km/ℓ 도심 6.6km/ℓ, 고속 9.3km/ℓ",233g/km,"4,915mm / 1,845mm","1,440mm / 2,850mm","1,555mm / 1,560mm","1,855kg",255mm / 35 / 19inch,275mm / 35 / 19inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
78,2016 니로 하이브리드,l4 GDi,,가솔린,"1,580cc",105hp 합산 141hp,15kg.m 합산 26.9kg.m,"복합 19.5km/ℓ 도심 20.1km/ℓ, 고속 18.7km/ℓ",79g/km,"4,355mm / 1,805mm","1,545mm / 2,700mm","1,565mm / 1,579mm","1,425kg",205mm / 60 / 16inch,205mm / 60 / 16inch,앞엔진 전륜 구동,DCT6단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,
79,2001 옵티마,2.0 DOHC,,가솔린,"1,997cc",149hp,19.7kg.m,"복합 12.6km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,745mm / 1,815mm","1,420mm / 2,700mm","1,540mm / 1,530mm","1,420kg",195mm / 70 / 14inch,195mm / 70 / 14inch,앞엔진 후륜 구동,자동4단,더블 위시본,멀티링크,디스크,드럼,랙 앤 피니언,,,,,,195km/h,
80,2024 렉서스 LS,V6,트윈터보,가솔린,"3,445cc",422hp,61.2kg.m,"복합 7.9km/ℓ 도심 6.5km/ℓ, 고속 10.7km/ℓ",220g/km,"5,235mm / 1,900mm","1,460mm / 3,125mm","1,635mm / 1,635mm","2,240~2,315kg",245mm / 45~50 / 19~20inch,245mm / 45~50 / 19~20inch,상시사륜 구동,자동10단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
81,2002 SM3,직렬4기통 DOHC,,가솔린,"1,497cc",100hp,13.8kg.m,"복합 13.8~15.7km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,510mm / 1,705mm","1,440mm / 2,535mm","1,490mm / 1,470mm","1,160~1,185kg",,,앞엔진 전륜 구동,"수동5단, 자동4단",맥퍼슨 스트럿,멀티링크 코일스프링,디스크,드럼,랙 앤 피니언,,,,,,180~184km/h,
82,2012 그랜저,I4,자연흡기,가솔린,"2,359cc",201hp,25.5kg.m,"복합 12.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",183g/km,"4,910mm / 1,860mm","1,470mm / 2,845mm","1,613mm / 1,614mm","1,525kg",225mm / 55 / 17inch,225mm / 55 / 17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
83,2018 엑센트,l4,자연흡기,가솔린,"1,368cc",100hp,13.6kg.m,"복합 13.4~14.1km/ℓ 도심 12~12.7km/ℓ, 고속 15.6~16.1km/ℓ",115~122g/km,"4,370mm / 1,705mm","1,455mm / 2,570mm","1,488~1,496mm / 1,493~1,501mm","1,070~1,105kg",175~195mm / 50~70 / 14~16inch,175~195mm / 50~70 / 14~16inch,앞엔진 전륜 구동,"수동6단, CVT",맥퍼슨 스트럿,토션빔,디스크,디스크,랙 앤 피니언,,,,,,,
84,2024 코나 하이브리드,I4,자연흡기,가솔린,"1,580cc",105hp 합산 141hp,14.7kg.m,"복합 18.1~19.8km/ℓ 도심 18.6~20.8km/ℓ, 고속 17.5~18.6km/ℓ",79~87g/km,"4,350mm / 1,825mm","1,580~1,585mm / 2,660mm","1,591mm / 1,600mm","1,435~1,450kg",215mm / 55~60 / 17~18inch,215mm / 55~60 / 17~18inch,앞엔진 전륜 구동,DCT6단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,
85,2023 SM6,I4,싱글터보,가솔린,"1,332cc",156hp,26.5kg.m,"복합 13.3~13.6km/ℓ 도심 11.9~12.1km/ℓ, 고속 15.7~16km/ℓ",121~123g/km,"4,855mm / 1,870mm","1,460mm / 2,810mm","1,615mm / 1,610mm","1,420~1,450kg",225~245mm / 45~55 / 17~18inch,225~245mm / 45~55 / 17~18inch,앞엔진 전륜 구동,DCT7단,맥퍼슨 스트럿,토션빔,V디스크,디스크,랙 앤 피니언,,,,,,,
86,2019 테슬라 모델 3,,,전기,,,,"복합 5.8km/kWh 도심 6.2km/kWh, 고속 5.4km/kWh",,"4,694mm / 1,849mm","1,443mm / 2,875mm","1,580mm / 1,580mm","1,645kg",235mm / 45 / 18inch,235mm / 45 / 18inch,뒤엔진 후륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,175kW234.7hp (단순환산치),375Nm38.2kg.m (단순환산치),352km,50kWh,리튬 이온,225km/h,5.6초
87,2015 아반떼,I4 직분사,,가솔린,"1,591cc",140hp,17kg.m,"복합 14~14.1km/ℓ 도심 12.3~12.5km/ℓ, 고속 16.6~16.7km/ℓ",122~123g/km,"4,550mm / 1,775mm","1,435mm / 2,700mm","1,563mm / 1,576mm","1,210~1,245kg",195~215mm / 45~65 / 15~17inch,195~215mm / 45~65 / 15~17inch,앞엔진 전륜 구동,"수동6단, 토크컨버터6단",맥퍼슨 스트럿,토션빔 액슬,V디스크,디스크,랙 앤 피니언,,,,,,,
88,2025 코나 하이브리드,I4,자연흡기,가솔린,"1,580cc",105hp 합산 141hp,14.7kg.m,"복합 18.1~19.8km/ℓ 도심 18.6~20.8km/ℓ, 고속 17.5~18.6km/ℓ",79~87g/km,"4,350mm / 1,825mm","1,580~1,585mm / 2,660mm","1,591mm / 1,600mm","1,435~1,450kg",215mm / 55~60 / 17~18inch,215mm / 55~60 / 17~18inch,앞엔진 전륜 구동,DCT6단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,
89,2001 테라칸,인터쿨러 터보,,디젤,"2,476cc",103hp,24kg.m,"복합 9.2km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,710mm / 1,860mm","1,795mm / 2,750mm","1,530mm / 1,530mm","1,975kg",255mm / 70 / 15inch,255mm / 70 / 15inch,사륜 구동,자동4단,더블 위시본,5링크 코일스프링,디스크,디스크,랙 앤 피니언,,,,,,142km/h,
90,1995 마르샤,2.0 DOHC,,가솔린,"1,997cc",146hp,19.2kg.m,"복합 9.2~10.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,770mm / 1,770mm","1,405mm / 2,700mm","1,515mm / 1,505mm","1,355kg",195mm / 70 / 14inch,195mm / 70 / 14inch,앞엔진 전륜 구동,"수동5단, 자동4단, 자동5단",맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
91,2024 EV3,,,전기,,,,"복합 5.2km/kWh 도심 5.6km/kWh, 고속 4.7km/kWh",,"4,300~4,310mm / 1,850mm","1,560~1,570mm / 2,680mm","1,610~1,614mm / 1,607~1,611mm","1,750~1,765kg",215mm / 50~60 / 17~19inch,215mm / 50~60 / 17~19inch,앞엔진 전륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,150kW201.2hp (단순환산치),283Nm28.9kg.m (단순환산치),347~350km,58.3kWh,리튬 이온,,
92,2014 싼타페,I4 직분사 디젤,싱글터보,디젤,"1,995cc",184hp,41kg.m,"복합 13.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",137g/km,"4,690mm / 1,880mm","1,680mm / 2,700mm","1,628mm / 1,639mm","1,792kg",235mm / 55~60 / 18~19inch,235mm / 55~60 / 18~19inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티 링크,디스크,디스크,랙 앤드 피니언,,,,,,,
93,2025 BMW iX,,,전기,,,,"복합 3.7km/kWh 도심 3.7km/kWh, 고속 3.7km/kWh",,"4,955mm / 1,965mm","1,695mm / 3,000mm","1,659mm / 1,688mm","2,588kg",275mm / 40 / 22inch,275mm / 40 / 22inch,상시사륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,385kW516.3hp (단순환산치),765Nm78.0kg.m (단순환산치),464km,111.5kWh,리튬 이온,200km/h,4.6초
94,2015 쏘울,I4 1.6 GDI,자연흡기,가솔린,"1,591cc",132hp,16.4kg.m,"복합 11.5~11.6km/ℓ 도심 10.4~10.5km/ℓ, 고속 13~13.2km/ℓ",151~152g/km,"4,140mm / 1,800mm","1,600mm / 2,570mm","1,576mm / 1,588mm","1,264~1,298kg",205~235mm / 45~60 / 16~18inch,205~235mm / 45~60 / 16~18inch,앞엔진 전륜 구동,"수동6단, 자동6단",맥퍼슨 스트럿,토션 빔,V디스크,디스크,랙 앤 피니언,,,,,,,
95,2014 K9,V6 직분사,자연흡기,가솔린,"3,342cc",300hp,35.5kg.m,"복합 9.4~9.6km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",186~190g/km,"5,090mm / 1,900mm","1,490mm / 3,045mm",,"1,870kg",245mm / 45~50 / 18~19inch,245~275mm / 40~50 / 18~19inch,앞엔진 후륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
96,2012 BMW X5,I6 3.0,,디젤,"2,993cc",245hp,55.1kg.m,"복합 11.6km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",173g/km,"4,857mm / 1,933mm","1,776mm / 2,933mm","1,644mm / 1,650mm","2,075kg",255mm / 55 / 18inch,255mm / 55 / 18inch,상시사륜 구동,자동8단,더블 위시본,멀티링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,222km/h,7.6초
97,2016 렉서스 RX,V6 Dual VVT-iW,자연흡기,가솔린,"3,456cc",301hp,37.7kg.m,"복합 8.9km/ℓ 도심 7.8km/ℓ, 고속 10.9km/ℓ",193g/km,"4,890mm / 1,895mm","1,710mm / 2,790mm","1,640mm / 1,630mm","2,045kg",235mm / 55 / 20inch,235mm / 55 / 20inch,상시사륜 구동,토크컨버터8단,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙앤 피니언,,,,,,,
98,2020 K7,I4,자연흡기,가솔린,"2,497cc",198hp,25.3kg.m,"복합 11.6~11.9km/ℓ 도심 10~10.3km/ℓ, 고속 14.2~14.5km/ℓ",142~147g/km,"4,995mm / 1,870mm","1,470mm / 2,855mm","1,602mm / 1,610mm","1,565~1,580kg",225~245mm / 45~55 / 17~18inch,225~245mm / 45~55 / 17~18inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,
99,2008 오피러스,V형 6기통 뮤 2.7,,가솔린,"2,656cc",192hp,25.5kg.m,"복합 9.2km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"5,000mm / 1,850mm","1,485mm / 2,800mm","1,585mm / 1,590mm","1,665kg",225mm / 60 / 16inch,225mm / 60 / 16inch,앞엔진 전륜 구동,자동5단,"더블위시본,더블 위시본",멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,0~208km/h,
100,2020 렉서스 LS 하이브리드,V6,자연흡기,가솔린,"3,456cc",262hp 합산 313hp,34.2kg.m,"복합 12.8km/ℓ 도심 13.4km/ℓ, 고속 12.1km/ℓ",129g/km,"4,890mm / 1,895mm","1,710mm / 2,790mm","1,640mm / 1,630mm","2,175kg",235mm / 65 / 18inch,235mm / 65 / 18inch,상시사륜 구동,CVT,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,,,,,
101,2013 렉서스 LS,V8,자연흡기,가솔린,"4,608cc",380hp,51kg.m,"복합 8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",226g/km,"5,090mm / 1,875mm","1,465mm / 2,970mm","1,610mm / 1,615mm","2,030kg",235mm / 50 / 18inch,235mm / 50 / 18inch,앞엔진 후륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,210km/h,5.4초
102,2017 SM7,V6,자연흡기,가솔린,"2,495cc",190hp,24.8kg.m,"복합 9.1km/ℓ 도심 7.9km/ℓ, 고속 11.2km/ℓ",174g/km,"4,995mm / 1,870mm","1,480mm / 2,810mm","1,565mm / 1,565mm","1,635kg",225mm / 50 / 17inch,225mm / 50 / 17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,
103,2005 아반떼,"CRDi, VGT",,디젤,"1,493cc",104hp,24.5kg.m,"복합 15.8~18.9km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,525mm / 1,725mm","1,425mm / 2,610mm","1,485mm / 1,475mm","1,301~1,312kg",185mm / 65 / 15inch,185mm / 65 / 15inch,앞엔진 전륜 구동,"수동5단, 자동4단",맥퍼슨 스트럿,듀얼링크 코일스프링,디스크,디시크,랙 앤 피니언,,,,,,,
104,2012 베라크루즈,V6 3.0 E-VGT,,디젤,"2,959cc",255hp,48kg.m,"복합 13.3km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",201g/km,"4,840mm / 1,970mm","1,795mm / 2,805mm","1,670mm / 1,670mm","2,035kg",245mm / 60 / 18inch,245mm / 60 / 18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크 코일스프링,디스크,디스크,랙 앤 피니언,,,,,,,
105,2026 싼타페,I4,싱글터보,가솔린,"2,497cc",281hp,43kg.m,"복합 10~11km/ℓ 도심 8.8~9.6km/ℓ, 고속 12~13.4km/ℓ",152~168g/km,"4,830mm / 1,900mm","1,720~1,780mm / 2,815mm","1,643~1,646mm / 1,653~1,656mm","1,795~1,865kg",235~245mm / 45~60 / 18~21inch,235~245mm / 45~60 / 18~21inch,앞엔진 전륜 구동,DCT8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
106,2007 싼타페,"2.2 VGT, 2.0 VGT",,디젤,"1,991cc",151hp,34kg.m,"복합 12.6km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,675mm / 1,890mm","1,725mm / 2,700mm","1,615mm / 1,620mm","1,817kg",235mm / 65 / 17inch,235mm / 65 / 17inch,앞엔진 전륜 구동,자동5단,맥퍼슨 스트럿,멀티링크 코일스프링,디스크,디스크,랙 앤 피니언,,,,,,,
107,2010 쏘나타,세타ll 2.4 GDi,,가솔린,"2,359cc",201hp,25.5kg.m,"복합 13km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",180g/km,"4,820mm / 1,835mm","1,470mm / 2,795mm","1,591mm / 1,591mm","1,465kg",215mm / 55 / 17inch,215mm / 55 / 17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크 코일스프링,디스크,디스크,랙 앤 피니언,,,,,,,
108,2025 렉서스 LS 하이브리드,V6,자연흡기,가솔린,"3,456cc",299hp 합산 359hp,35.7kg.m,"복합 9.6km/ℓ 도심 8.8km/ℓ, 고속 10.9km/ℓ",175g/km,"5,235mm / 1,900mm","1,460mm / 3,125mm","1,635mm / 1,635mm","2,365~2,375kg",245mm / 45 / 20inch,245mm / 45 / 20inch,상시사륜 구동,CVT,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
109,2020 렉서스 RC F 스포츠,l4,싱글터보,가솔린,"1,998cc",245hp,35.7kg.m,"복합 9.9km/ℓ 도심 8.6km/ℓ, 고속 12.2km/ℓ",175g/km,"4,700mm / 1,840mm","1,395mm / 2,730mm","1,580mm / 1,570mm","1,705kg",235mm / 40 / 19inch,265mm / 35 / 19inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
110,2021 테슬라 모델 3,,,전기,,,,"복합 6.1km/kWh 도심 6.2km/kWh, 고속 5.4km/kWh",,"4,694mm / 1,849mm","1,443mm / 2,875mm","1,580mm / 1,580mm","1,645kg",235mm / 45 / 18inch,235mm / 45 / 18inch,뒤엔진 후륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,211kW283.0hp (단순환산치),375Nm38.2kg.m (단순환산치),383km,50kWh,리튬 이온,225km/h,5.6초
111,2025 BMW 5시리즈,I4,싱글터보,가솔린,"1,998cc",190hp,31.6kg.m,"복합 12.1km/ℓ 도심 11.1km/ℓ, 고속 13.7km/ℓ",137g/km,"5,060mm / 1,900mm","1,515mm / 2,995mm",,"1,835kg",245mm / 45 / 19inch,245mm / 45 / 19inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,230km/h,8.1초
112,2023 BMW M3,I6,트윈터보,가솔린,"2,993cc",510hp,66.3kg.m,"복합 8.3km/ℓ 도심 7.3km/ℓ, 고속 10km/ℓ",208g/km,"4,795mm / 1,905mm","1,440mm / 2,855mm",,"1,810kg",275mm / 35 / 19inch,285mm / 30 / 20inch,상시사륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.5초
113,2018 쏘울 EV,,,전기,,,,"복합 5.2km/ℓ 도심 6km/ℓ, 고속 4.5km/ℓ",,"4,140mm / 1,800mm","1,600mm / 2,570mm","1,576mm / 1,585mm","1,530kg",205mm / 60 / 16inch,205mm / 60 / 16inch,앞엔진 전륜 구동,자동,맥퍼슨 스트럿,토션빔,디스크,디스크,랙 앤 피니언,81.4kW109.2hp (단순환산치),285Nm29.1kg.m (단순환산치),180km,30kWh,리튬이온 폴리머,,
114,2014 봉고3,I4 직분사 디젤,싱글터보,디젤,"2,497cc",133hp,26.5kg.m,,,"5,430mm / 1,750mm","2,085mm / 2,810mm","1,470mm / 1,270mm",,,,앞엔진 후륜 구동,수동6단,,,디스크,,,,,,,,,
115,2026 메르세데스-AMG GT 4도어 쿠페,I6,싱글터보,가솔린,"2,999cc",367hp,51kg.m,"복합 8.8km/ℓ 도심 7.9km/ℓ, 고속 10.2km/ℓ",197g/km,"5,055mm / 1,955mm","1,455mm / 2,950mm","1,663mm / 1,658mm","2,085kg",265mm / 40 / 20inch,295mm / 35 / 20inch,상시사륜 구동,자동9단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,270km/h,4.9초
116,2024 BMW X3,I4,싱글터보,가솔린,"1,998cc",184hp,29.5kg.m,"복합 9.8km/ℓ 도심 8.8km/ℓ, 고속 11.5km/ℓ",173g/km,"4,710mm / 1,890mm","1,675mm / 2,865mm",,"1,895kg",245mm / 50 / 19inch,245mm / 50 / 19inch,상시사륜 구동,자동8단,더블 조인트 스트럿,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,210km/h,8.3초
117,2023 렉서스 RZ,,,전기,,,,"복합 5.4km/kWh 도심 5.8km/kWh, 고속 4.9km/kWh",,"4,805mm / 1,895mm","1,635mm / 2,850mm",,"2,090kg",235mm / 60 / 18inch,255mm / 55 / 18inch,상시사륜 구동,자동1단,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,230kW308.4hp (단순환산치),435Nm44.4kg.m (단순환산치),377km,71.4kWh,리튬 이온,,
